18	16
19	17
21	19
23	20
377	24
378	25
379	26
380	27
381	28
382	29
383	30
384	31
386	32
387	33
483	62
484	63
485	64
488	65
489	66
490	67
492	69
493	70
495	71
496	72
497	73
498	74
499	75
500	76
501	77
502	78
503	79
504	80
505	81
506	82
507	83
508	84
509	85
515	86
516	87
521	88
522	89
523	90
524	91
525	92
526	93
528	94
529	95
531	97
539	104
548	107
550	109
563	119
574	128
588	132
590	134
609	153
610	154
611	155
612	156
366	162
357	169
356	170
355	171
351	175
350	176
348	178
347	179
346	180
345	181
341	185
339	187
336	190
335	191
333	193
332	194
329	197
324	201
322	203
317	208
209	231
168	245
148	255
132	260
131	261
129	262
128	263
122	268
116	274
74	286
73	287
68	291
67	292
66	293
62	297
59	300
58	301
57	302
56	303
55	304
54	305
53	306
51	307
50	308
48	310
47	311
43	315
32	326
31	327
27	331
26	332
25	333
24	334
671	377
675	380
676	381
621	388
619	390
570	394
22	395




